Id,SalePrice
1461,120993.79111189382
1462,155946.13221760758
1463,190574.16738927847
1464,194905.61460527714
1465,190383.3642705827
1466,172386.2808230108
1467,176826.39078187218
1468,162249.3963900379
1469,185531.25264069389
1470,125424.03216144143
1471,188355.9274302763
1472,97355.82238048267
1473,97449.76618862376
1474,146094.13711491018
1475,110454.84721001942
1476,357825.31230829924
1477,250735.1316290613
1478,292448.6566349855
1479,301247.2697888818
1480,512757.33961064887
1481,317661.4990189067
1482,208214.51449193648
1483,180958.26897223823
1484,161264.6159597513
1485,183275.10833242402
1486,189345.68764869103
1487,317162.3889690518
1488,229839.91929901394
1489,199864.17746066977
1490,240306.39067773105
1491,191537.99832592235
1492,91965.29551198141
1493,183177.06337614698
1494,282434.9096915423
1495,285691.7625679999
1496,245884.0859169409
1497,179088.88052705352
1498,169256.389078176
1499,165200.74231557257
1500,162283.50029356944
1501,176709.2083104416
1502,146809.06813995208
1503,290639.7465577421
1504,239647.83288943747
1505,225263.108820691
1506,190834.98569387622
1507,253884.10930204208
1508,196960.0254178285
1509,157760.93376151432
1510,147213.53347714338
1511,149988.81616257873
1512,173220.22623751574
1513,149296.94349518252
1514,161130.1837052281
1515,196455.80298467886
1516,152451.5276751447
1517,166838.0970905681
1518,128124.8977953459
1519,212836.29934105548
1520,131495.5315834711
1521,136401.26805878826
1522,176342.40475722606
1523,113553.10513428778
1524,120707.94649375748
1525,121308.03250739066
1526,113247.54002265181
1527,104100.84300824747
1528,136385.94556892698
1529,154676.6224310866
1530,175961.32121441854
1531,102570.54715313828
1532,97112.6913702528
1533,145679.68520743996
1534,120874.07684533275
1535,154248.60519454037
1536,109806.93928651913
1537,57820.826106286855
1538,149625.90025826154
1539,188209.59356881728
1540,90698.5846155732
1541,137426.26038929014
1542,144084.40638428804
1543,198547.606096866
1544,79335.98136912777
1545,115612.76327450671
1546,130892.93872539808
1547,136767.26141158852
1548,139267.85772519748
1549,118281.33154404882
1550,138806.0703940041
1551,106152.71346771668
1552,137511.33905514717
1553,149144.44590677324
1554,117137.72762602895
1555,162936.15362143007
1556,81381.80830966808
1557,102190.66119134794
1558,101646.43159852439
1559,71104.84654421957
1560,129318.34865504086
1561,131615.8542898874
1562,127225.34345288295
1563,120974.83339859401
1564,155875.0856510464
1565,154206.45821047644
1566,229035.2443836131
1567,75964.18124613761
1568,224821.17324083464
1569,131079.8791523132
1570,135976.95081671493
1571,121561.71942609116
1572,144869.46235555675
1573,242239.0915110616
1574,117708.16053656681
1575,228325.95557590012
1576,238933.68249812032
1577,187886.30077991102
1578,147721.20690716806
1579,146171.15310353105
1580,193329.1492813529
1581,151926.44504803966
1582,127231.97790708867
1583,302176.0509916337
1584,214868.7705288191
1585,137028.99059057972
1586,69309.29013822527
1587,102098.61691508188
1588,151694.76282466558
1589,95631.6645050872
1590,134055.2920446743
1591,93901.26238572203
1592,118750.7706616971
1593,128143.89227881854
1594,128348.63310429985
1595,103675.02862236917
1596,234266.99228542444
1597,188202.42718906535
1598,225257.3767067623
1599,161177.79839722073
1600,157562.15971804733
1601,67191.3305273669
1602,109824.7799986569
1603,79792.07200551161
1604,261027.60165714024
1605,241252.1413819515
1606,170282.51168587117
1607,172075.4337860403
1608,218139.147869144
1609,188005.45557595388
1610,158715.5187157902
1611,136390.5349627263
1612,173618.00589374744
1613,163670.38680114906
1614,120567.22923907924
1615,92481.32714166124
1616,78162.69412585818
1617,92444.81666198258
1618,123120.85896529091
1619,140997.85223517858
1620,154461.57960377305
1621,139719.967962015
1622,141308.7815854404
1623,263296.972793988
1624,206576.0940102311
1625,117642.74071880204
1626,166805.6840309576
1627,193221.9004452925
1628,273736.6190544754
1629,184729.1327597264
1630,365037.36865602696
1631,225325.98085762296
1632,240322.6319062268
1633,170429.35710571677
1634,187567.3973063701
1635,174198.40314806555
1636,154130.7019035851
1637,202993.47528209782
1638,174135.95923364954
1639,184993.14194502117
1640,238027.79706753814
1641,177836.22877717676
1642,241419.90584228066
1643,211936.41778767755
1644,239341.8804523422
1645,199681.14324886608
1646,159667.05500294617
1647,158822.23233992248
1648,132332.7964038279
1649,142000.5023684455
1650,117046.47104525942
1651,119793.6691408792
1652,97813.75215332865
1653,99793.23658541091
1654,143310.90432595546
1655,133238.95620068186
1656,140395.52494187106
1657,146023.31125075495
1658,143091.61111989242
1659,114952.64092540074
1660,151246.65491000854
1661,454179.767265083
1662,402750.3513310939
1663,354132.0832290075
1664,517566.2090421077
1665,311326.58614616236
1666,332370.0382753105
1667,376568.3660120735
1668,339326.6905592218
1669,301444.089388127
1670,344111.05372401216
1671,255167.8187410626
1672,454385.9313333663
1673,280414.60757995135
1674,241370.0644770009
1675,195758.17846172678
1676,191992.68041940685
1677,218765.87444333002
